Student ID,FirstName,last_name,DOB,reg_date,email,E-Mail,mail,courriel
46685257-bdd6-40fb-8667-1ad11c80317f,Patrick,HUBERT,05-03-2005,21/11/2022,mauryaudrey@martinez.net,,,
8fadc1a6-06cb-4fb3-9a1d-e644815ef6d1,Luois,Auger,1998-04-03,22/01/2025,,carolinepruvost@bouygtel.fr,,
b2b9437a-28df-4ec4-8e4a-2bbdc241330b,Audrey,LEBLANC,29/05/1994,2023-06-24,paulettemarques@morin.com,,,
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Susan,Bertrand,27-05-2000,01/04/2024,,,jchevalier@techer.fr,
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,Margaud,dumas,2004-02-13,2023-07-12,eugenegillet@de.fr,,,
ab9099a4-35a2-40ae-9af3-05535ec42e08,René,boutin,1997-01-23,15/03/2025,elisabethchauveau@goncalves.org,,,
af42e12f-3838-4326-8e94-4239b02b61c4,Victor,Lecoq,08/03/2005,2022-07-14,,gomesandree@francois.net,,
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Marcelle,Didier,12-12-2003,24/12/2023,remyjoly@orange.fr,,,
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Isabelle,GILBERT,2006-12-21,2024-10-11,matthieu28@tiscali.fr,,,
1c11f735-dc71-4d96-8c0f-d195c17af08a,Honoré,Techer,1995-11-04,2022-12-23,,collinalex@tele2.fr,,
dc5c0eed-8da0-465b-b898-97b9405cacec,Alain,Bazin,2003-04-19,13/10/2022,,,,frederic46@free.fr
e037e5ed-b8db-4672-b42d-47cc00d4af59,Michelle,CHARLES,06/01/2002,04/06/2024,,toussainttheophile@brunet.com,,
1ca35cfb-04fc-4d82-bd15-438552fbe43b,Agnès,le gall,26/06/2004,25/04/2023,,,,helenechevalier@foucher.com
20de435d-2031-4750-840d-b9b4885f6e66,Margaux,ollivier,28-03-2007,20/08/2024,eleonore96@gimenez.net,,,
abf3ad39-fec2-4bbe-a624-5bfa4fcca39a,Manon,BESSON,05-06-2006,2024-02-28,,hoaraumaurice@hotmail.fr,,
3ae8cc93-8dcd-4d03-969b-666205628059,Jacqueline,vasseur,18-01-2000,2022-04-30,,,,rollanddaniel@remy.net
8a0b3c33-36d8-493a-bc44-1fe7ab4220a7,Gilles,RAMOS,1999-01-13,2024-09-22,,sabinereynaud@noos.fr,,
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Adrienne,BRIAND,1997-07-15,17/01/2024,,mailletmarcelle@yahoo.fr,,
ccf3a171-56dc-4907-ba6c-34ab6712303a,Franck,,30/04/1995,2023-02-10,,,,bjoly@lopes.com
8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,Eugène,Girard,01/11/2001,26/01/2025,chretienclaude@brun.fr,,,
0f02bad0-e706-4ef4-a6aa-9385dd59ba71,Jacques,gillet,1997-12-07,22/04/2022,,,sabine74@noos.fr,
c88a618e-fed4-457d-bb02-6576f512c4c3,Frédérique,Peltier,2006-02-23,,theodorecarpentier@delorme.com,,,
958ca9ba-0cd6-40c2-8ea2-622b504867ba,Christiane,gaudin,2007-01-08,2024-07-22,gregoireedouard@muller.net,,,
91d63f78-e3e9-4e99-b10c-718b1eb0e38a,Paul,Delorme,01-03-2001,28/10/2024,,humbertmargaux@bertin.net,,
43ff5011-3d1a-45dd-906e-5a9ab758588d,Anastasie,PAYET,2005-09-09,2025-02-25,,,wgomes@hotmail.fr,
902059e4-ff9a-45c2-9f04-4aed75523327,Eugène,LEGRAND,15-06-1994,01/08/2024,,,gilles51@lemaitre.fr,
